bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_clean,authors_clean,publisher_clean,combined_text
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,eng,6,1266,253,3/23/2005,Random House Audio,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1,douglas adams stephen fry,random house audio,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 douglas adams stephen fry random house audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,1/17/1996,Wings Books,the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5,douglas adams,wings books,the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5 douglas adams wings books
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,9/14/2004,Broadway Books,a short history of nearly everything,bill bryson,broadway books,a short history of nearly everything bill bryson broadway books
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55,7270,499,12/3/2002,Broadway Books,bill bryson s african diary,bill bryson,broadway books,bill bryson s african diary bill bryson broadway books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256,2088,131,9/14/2004,Broadway Books,bryson s dictionary of troublesome words a writer s guide to getting it right,bill bryson,broadway books,bryson s dictionary of troublesome words a writer s guide to getting it right bill bryson broadway books
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,5/15/2001,Broadway Books,in a sunburned country,bill bryson,broadway books,in a sunburned country bill bryson broadway books
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,6/28/2000,Broadway Books,i m a stranger here myself notes on returning to america after twenty years away,bill bryson,broadway books,i m a stranger here myself notes on returning to america after twenty years away bill bryson broadway books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,the lost continent travels in small town america,bill bryson,william morrow paperbacks,the lost continent travels in small town america bill bryson william morrow paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,neither here nor there travels in europe,bill bryson,william morrow paperbacks,neither here nor there travels in europe bill bryson william morrow paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,notes from a small island,bill bryson,william morrow paperbacks,notes from a small island bill bryson william morrow paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,the mother tongue english and how it got that way,bill bryson,william morrow paperbacks,the mother tongue english and how it got that way bill bryson william morrow paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books,j r r tolkien 4 book boxed set the hobbit and the lord of the rings,j r r tolkien,ballantine books,j r r tolkien 4 book boxed set the hobbit and the lord of the rings j r r tolkien ballantine books
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,the lord of the rings the lord of the rings 1 3,j r r tolkien,houghton mifflin harcourt,the lord of the rings the lord of the rings 1 3 j r r tolkien houghton mifflin harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,the fellowship of the ring the lord of the rings 1,j r r tolkien,houghton mifflin harcourt,the fellowship of the ring the lord of the rings 1 j r r tolkien houghton mifflin harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9780618260584,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,the lord of the rings the lord of the rings 1 3,j r r tolkien alan lee,houghton mifflin harcourt,the lord of the rings the lord of the rings 1 3 j r r tolkien alan lee houghton mifflin harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,the lord of the rings weapons and warfare,chris smith christopher lee richard taylor,houghton mifflin harcourt,the lord of the rings weapons and warfare chris smith christopher lee richard taylor houghton mifflin harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,the lord of the rings complete visual companion,jude fisher,houghton mifflin harcourt,the lord of the rings complete visual companion jude fisher houghton mifflin harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,agile web development with rails a pragmatic guide,dave thomas david heinemeier hansson leon breedt mike clark thomas fuchs andreas schwarz,pragmatic bookshelf,agile web development with rails a pragmatic guide dave thomas david heinemeier hansson leon breedt mike clark thomas fuchs andreas schwarz pragmatic bookshelf
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,hatchet brian s saga 1,gary paulsen,atheneum books for young readers richard jackson books,hatchet brian s saga 1 gary paulsen atheneum books for young readers richard jackson books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,hatchet a guide for using hatchet in the classroom,donna ickes edward sciranko keith vasconcelles,teacher created resources,hatchet a guide for using hatchet in the classroom donna ickes edward sciranko keith vasconcelles teacher created resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press,guts the true stories behind hatchet and the brian books,gary paulsen,delacorte press,guts the true stories behind hatchet and the brian books gary paulsen delacorte press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company,molly hatchet 5 of the best,molly hatchet,cherry lane music company,molly hatchet 5 of the best molly hatchet cherry lane music company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,en-US,228,99,16,11/1/2005,The New Press,hatchet jobs writings on contemporary fiction,dale peck,the new press,hatchet jobs writings on contemporary fiction dale peck the new press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,a changeling for all seasons changeling seasons 1,angela knight sahara kelly judy mays marteeka karland kate douglas shelby morgen lacey savage kate hill willa okati,changeling press,a changeling for all seasons changeling seasons 1 angela knight sahara kelly judy mays marteeka karland kate douglas shelby morgen lacey savage kate hill willa okati changeling press
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile,changeling changeling 1,delia sherman,viking juvenile,changeling changeling 1 delia sherman viking juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,4/14/2003,Firebird,the changeling sea,patricia a mckillip,firebird,the changeling sea patricia a mckillip firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,6/8/2004,iUniverse,the changeling,zilpha keatley snyder,iuniverse,the changeling zilpha keatley snyder iuniverse
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala,the changeling,kate horsley,shambhala,the changeling kate horsley shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369,345,12,8/28/1990,Ivy Books,the changeling daughters of england 15,philippa carr,ivy books,the changeling daughters of england 15 philippa carr ivy books
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,the known world,edward p jones,amistad,the known world edward p jones amistad
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,the known world,edward p jones kevin r free,harperaudio,the known world edward p jones kevin r free harperaudio
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper,the known world,edward p jones,harper,the known world edward p jones harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press,traders guns money knowns and unknowns in the dazzling world of derivatives,satyajit das,ft press,traders guns money knowns and unknowns in the dazzling world of derivatives satyajit das ft press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia,artesia adventures in the known world,mark smylie,archaia,artesia adventures in the known world mark smylie archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,the john mcphee reader john mcphee reader 1,john mcphee william howarth,farrar straus and giroux,the john mcphee reader john mcphee reader 1 john mcphee william howarth farrar straus and giroux
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,uncommon carriers,john mcphee,farrar straus giroux,uncommon carriers john mcphee farrar straus giroux
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,heirs of general practice,john mcphee,farrar straus and giroux,heirs of general practice john mcphee farrar straus and giroux
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,the control of nature,john mcphee,farrar straus and giroux,the control of nature john mcphee farrar straus and giroux
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,annals of the former world,john mcphee,farrar straus and giroux,annals of the former world john mcphee farrar straus and giroux
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,coming into the country,john mcphee,farrar straus and giroux,coming into the country john mcphee farrar straus and giroux
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,la place de la concorde suisse,john mcphee,farrar straus and giroux,la place de la concorde suisse john mcphee farrar straus and giroux
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,giving good weight,john mcphee,farrar straus and giroux,giving good weight john mcphee farrar straus and giroux
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,rising from the plains,john mcphee,farrar straus and giroux,rising from the plains john mcphee farrar straus and giroux
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,the heidi chronicles,wendy wasserstein,dramatists play service,the heidi chronicles wendy wasserstein dramatists play service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage,the heidi chronicles uncommon women and others isn t it romantic,wendy wasserstein,vintage,the heidi chronicles uncommon women and others isn t it romantic wendy wasserstein vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,3/29/2006,Routledge,active literacy across the curriculum strategies for reading writing speaking and listening,heidi hayes jacobs,routledge,active literacy across the curriculum strategies for reading writing speaking and listening heidi hayes jacobs routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,en-US,128,62,4,3/14/2006,North Light Books,simply beautiful beaded jewelry,heidi boyd,north light books,simply beautiful beaded jewelry heidi boyd north light books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,always enough god s miraculous provision among the poorest children on earth,heidi baker rolland baker,chosen books,always enough god s miraculous provision among the poorest children on earth heidi baker rolland baker chosen books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,mapping the big picture integrating curriculum assessment k 12,heidi hayes jacobs,association for supervision curriculum development,mapping the big picture integrating curriculum assessment k 12 heidi hayes jacobs association for supervision curriculum development
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,heidi heidi 1 2,johanna spyri beverly cleary angelo rinaldi,kingfisher,heidi heidi 1 2 johanna spyri beverly cleary angelo rinaldi kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,11/15/2004,ASCD,getting results with curriculum mapping,heidi hayes jacobs,ascd,getting results with curriculum mapping heidi hayes jacobs ascd
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,there s always enough the miraculous move of god in mozambique,rolland baker heidi baker,sovereign world,there s always enough the miraculous move of god in mozambique rolland baker heidi baker sovereign world
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,what to expect the first year what to expect,heidi murkoff sharon mazel arlene eisenberg sandee hathaway mark d widome,workman publishing company,what to expect the first year what to expect heidi murkoff sharon mazel arlene eisenberg sandee hathaway mark d widome workman publishing company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,the player s handbook the ultimate guide on dating and relationships,heidi fleiss libby keatinge,one hour entertainment,the player s handbook the ultimate guide on dating and relationships heidi fleiss libby keatinge one hour entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,en-US,128,78,4,8/19/2004,North Light Books,simply beautiful beading 53 quick and easy projects,heidi boyd,north light books,simply beautiful beading 53 quick and easy projects heidi boyd north light books
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,god emperor of dune dune chronicles 4,frank herbert,ace books,god emperor of dune dune chronicles 4 frank herbert ace books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,chapterhouse dune dune chronicles 6,frank herbert,ace books,chapterhouse dune dune chronicles 6 frank herbert ace books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,dune messiah dune chronicles 2,frank herbert,ace books,dune messiah dune chronicles 2 frank herbert ace books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,en-US,592,784,21,7/1/2004,Tor Books,dreamer of dune the biography of frank herbert,brian herbert,tor books,dreamer of dune the biography of frank herbert brian herbert tor books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,4/16/1984,Putnam,heretics of dune dune chronicles 5,frank herbert,putnam,heretics of dune dune chronicles 5 frank herbert putnam
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,the road to dune,frank herbert brian herbert kevin j anderson,tor science fiction,the road to dune frank herbert brian herbert kevin j anderson tor science fiction
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,heretics of dune dune chronicles 5,frank herbert,ace books,heretics of dune dune chronicles 5 frank herbert ace books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,the lord of the rings the art of the fellowship of the ring,gary russell,houghton mifflin harcourt,the lord of the rings the art of the fellowship of the ring gary russell houghton mifflin harcourt
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,the power of one the power of one 1,bryce courtenay,ballantine books,the power of one the power of one 1 bryce courtenay ballantine books
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,the power of one the power of one 1,bryce courtenay,delacorte books for young readers,the power of one the power of one 1 bryce courtenay delacorte books for young readers
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,en-US,256,16,1,11/1/2004,Thomas Nelson,the power of one one person one rule one month,john c maxwell stephen r graves thomas g addington,thomas nelson,the power of one one person one rule one month john c maxwell stephen r graves thomas g addington thomas nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,5/19/2006,Wiley,power of an hour business and life mastery in one hour a week,dave lakhani,wiley,power of an hour business and life mastery in one hour a week dave lakhani wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama,the power of one the solo play for playwrights actors and directors,louis e catron,heinemann drama,the power of one the solo play for playwrights actors and directors louis e catron heinemann drama
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,how to buy sell profit on ebay kick start your home based business in just thirty days,adam ginsberg,william morrow paperbacks,how to buy sell profit on ebay kick start your home based business in just thirty days adam ginsberg william morrow paperbacks
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386,111,9,10/30/2006,Wiley,ebay for dummies,marsha collier,wiley,ebay for dummies marsha collier wiley
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,what to sell on ebay and where to get it the definitive guide to product sourcing for ebay and beyond,chris malta lisa suttora,mcgraw hill,what to sell on ebay and where to get it the definitive guide to product sourcing for ebay and beyond chris malta lisa suttora mcgraw hill
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,9/17/2004,Wiley,starting an ebay business for dummies,marsha collier,wiley,starting an ebay business for dummies marsha collier wiley
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,6/6/2006,Wiley,ebay top 100 simplified tips tricks,julia wilkinson,wiley,ebay top 100 simplified tips tricks julia wilkinson wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,en-US,391,22,1,5/31/2004,Wiley,ebay timesaving techniques for dummies,marsha collier,wiley,ebay timesaving techniques for dummies marsha collier wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,en-US,864,17,3,4/25/2005,Wiley,ebay business all in one desk reference for dummies,marsha collier,wiley,ebay business all in one desk reference for dummies marsha collier wiley
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,ruby cookbook,lucas carlson leonard richardson,o reilly media,ruby cookbook lucas carlson leonard richardson o reilly media
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel,ruby ann s down home trailer park cookbook,ruby ann boxcar,citadel,ruby ann s down home trailer park cookbook ruby ann boxcar citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,5/3/2005,Citadel,ruby ann s down home trailer park bbqin cookbook,ruby ann boxcar,citadel,ruby ann s down home trailer park bbqin cookbook ruby ann boxcar citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media,rails cookbook recipes for rapid web development with ruby,rob orsini,o reilly media,rails cookbook recipes for rapid web development with ruby rob orsini o reilly media
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,anna karenina,leo tolstoy richard pevear larissa volokhonsky,penguin classics,anna karenina leo tolstoy richard pevear larissa volokhonsky penguin classics
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,anna karenina,leo tolstoy david magarshack priscilla meyer,signet,anna karenina leo tolstoy david magarshack priscilla meyer signet
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,anna karenina,leo tolstoy richard pevear larissa volokhonsky john bayley,penguin books,anna karenina leo tolstoy richard pevear larissa volokhonsky john bayley penguin books
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,cliffsnotes on tolstoy s anna karenina,marianne sturman leo tolstoy,cliffs notes,cliffsnotes on tolstoy s anna karenina marianne sturman leo tolstoy cliffs notes
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,anna karenina,leo tolstoy amy mandelker constance garnett,barnes noble classics,anna karenina leo tolstoy amy mandelker constance garnett barnes noble classics
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,anna karenina,leo tolstoy louise maude aylmer maude,dover publications,anna karenina leo tolstoy louise maude aylmer maude dover publications
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,anna karenina,leo tolstoy constance garnett amy mandelker,barnes noble,anna karenina leo tolstoy constance garnett amy mandelker barnes noble
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,1/28/2006,Mira Books,dinner with anna karenina,gloria goldreich,mira books,dinner with anna karenina gloria goldreich mira books
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press,tolstoy anna karenina,anthony thorlby,cambridge university press,tolstoy anna karenina anthony thorlby cambridge university press
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,untouchable,mulk raj anand e m forster,penguin books,untouchable mulk raj anand e m forster penguin books
